start_station_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,cluster_label
21,1.375,1.5061728395061729,1.3333333333333333,1.446808510638298,1.1111111111111112,1.25,1.1058451816745656,1.2371967654986522,2.3337612323491657,2.0286069651741294,1.601957585644372,1.5299806576402322,1.54136690647482,1.6216216216216217,1.6738351254480286,1.650763358778626,1.7112403100775193,1.7483221476510067,1.6978998384491115,1.666015625,1.6547619047619047,1.5096525096525097,1.425233644859813,1.3333333333333333,0
22,1.2939068100358424,1.2658959537572254,1.3055555555555556,1.25,1.1864406779661016,1.0930232558139534,1.2524038461538463,2.1541950113378685,3.342315369261477,3.5757575757575757,2.302186878727634,2.33629191321499,3.0721196130167105,3.5975715524718126,2.6022304832713754,2.8322981366459627,4.41251056635672,8.53103448275862,4.150442477876106,2.5275275275275275,1.9230769230769231,1.723342939481268,1.6036866359447004,1.4050632911392404,3
23,1.2542372881355932,1.3448275862068966,1.2236842105263157,1.125,1.1904761904761905,1.1363636363636365,1.1422594142259415,1.3026052104208417,2.466666666666667,1.850785340314136,1.6722306525037935,1.7007299270072993,2.1094640820980617,2.020971302428256,1.9583333333333333,2.218045112781955,3.435847208619001,6.050284629981024,3.7299794661190964,2.08311345646438,1.5671378091872792,1.5894039735099337,1.449438202247191,1.3601532567049808,0
24,1.5189003436426116,1.5616438356164384,1.4307692307692308,1.48,1.2738095238095237,1.2307692307692308,1.2657004830917875,1.5323741007194245,2.884884884884885,2.7193486590038316,2.593291404612159,2.9744094488188977,3.6298701298701297,3.983304042179262,4.0452567449956485,4.489469250210615,5.460461285008237,9.848264729620661,6.800699300699301,3.6396568160152527,2.8635863586358634,2.303030303030303,1.9984709480122325,1.6484018264840183,3
25,1.376,1.32,1.4018691588785046,1.375,1.3106796116504855,1.13013698630137,3.477560414269275,12.63960396039604,12.311068702290076,5.678637200736648,2.904397705544933,2.318228630278064,2.4282868525896415,2.208040201005025,2.149779735682819,2.183142559833507,2.707317073170732,3.3961267605633805,3.5816696914700543,2.8877455565949486,1.9218934911242604,1.7881844380403458,1.685374149659864,1.4282700421940928,0
26,1.3905325443786982,1.263157894736842,1.3818181818181818,1.2666666666666666,1.121212121212121,1.0862068965517242,1.4076782449725778,2.1085450346420322,3.6709741550695827,2.671120246659815,2.3264094955489614,2.080473372781065,1.9891304347826086,2.0940892641737032,1.9964622641509433,2.0644783118405625,2.089403973509934,2.3963963963963963,2.9523809523809526,2.2947719688542825,1.7285714285714286,1.66218487394958,1.5263157894736843,1.391304347826087,0
27,1.523076923076923,1.4645669291338583,1.4375,1.3478260869565217,1.380952380952381,1.1818181818181819,1.0941176470588236,1.7432432432432432,3.2479338842975207,2.2521315468940317,1.9974025974025975,2.2241784037558685,2.8154296875,2.781529294935452,2.820408163265306,2.9741131351869607,4.902614968440036,12.62402088772846,8.85509838998211,3.782887700534759,2.7612994350282487,2.183150183150183,1.9479638009049773,1.6586206896551725,3
28,1.5011037527593818,1.44,1.407216494845361,1.4622641509433962,1.1133333333333333,1.1116279069767443,1.383408071748879,2.542207792207792,3.7924710424710426,4.344731977818854,2.5913461538461537,2.618147448015123,2.9866785079928952,3.1081818181818184,3.142322097378277,3.424131627056673,4.018041237113402,6.12396694214876,5.120471777590565,3.4463636363636363,2.6853220696937696,2.097902097902098,1.9517601043024773,1.6055846422338569,3
29,1.3964497041420119,1.4166666666666667,1.188235294117647,1.1785714285714286,1.1590909090909092,1.0588235294117647,1.550641940085592,4.1880877742946705,6.211050724637682,2.697160883280757,2.6034285714285716,2.6809815950920246,2.4744351961950057,2.5037353255069372,2.478794642857143,2.4837988826815645,2.379120879120879,2.4577167019027484,2.7122877122877123,2.2886836027713624,1.930232558139535,1.6873661670235547,1.5975308641975308,1.382716049382716,0
30,1.3047619047619048,1.3432203389830508,1.417808219178082,1.6210526315789473,1.2323232323232323,1.0961538461538463,2.4485006518904826,4.450836820083682,6.604364326375712,4.497745716862038,2.1963001027749227,2.2056962025316458,2.4285714285714284,2.461178671655753,2.156779661016949,2.054922279792746,2.1504065040650406,4.175,4.118659420289855,2.524043179587831,2.032863849765258,1.7220496894409938,1.5759162303664922,1.3942992874109263,0
